"Id","RaceID","Course","Time","Dist","RaceDesc","Class","AgeLimit","Value","Going","Run","No","Draw","Form","Horse","Days","CDB","Age","Weight","Aid","Trainer","Jockey","Allow","OR","BR2","BR3","BRY","Odds","WtLbs"
1,1,"Ascot","13:15","2m 7f 118y","Best Odds On The Betfair Exchange Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier)","3","4YO plus","9,849","Good to Soft","17","1",,"10-3238","Samuel Spade (GER)","27",,"6","12-0","","B Pauling","Ben Jones",,"125","0","0","0","25/1","168"
2,1,"Ascot","13:15","2m 7f 118y","Best Odds On The Betfair Exchange Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier)","3","4YO plus","9,849","Good to Soft","17","2",,"0P-2221","Thank You Ma'am","56","CD","6","12-0","p","G Nicholls","Miss Olive Nicholls","7","125","0","0","0","5/1","168"
3,1,"Ascot","13:15","2m 7f 118y","Best Odds On The Betfair Exchange Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier)","3","4YO plus","9,849","Good to Soft","17","3",,"5-42241","Jilaijone (FR)","21",,"6","12-0","t","D Pipe","Freddie Mitchell","5","125","0","0","0","7/2","168"
4,1,"Ascot","13:15","2m 7f 118y","Best Odds On The Betfair Exchange Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier)","3","4YO plus","9,849","Good to Soft","17","4",,"P6/403-5","Dubrovnik Harry","61",,"9","11-13","t","H Fry","Bryan Carver",,"124","0","0","0","14/1","167"
5,1,"Ascot","13:15","2m 7f 118y","Best Odds On The Betfair Exchange Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier)","3","4YO plus","9,849","Good to Soft","17","5",,"3U/4630","Dans Le Vent (FR)","27","D","12","11-12","","Evan Williams","Isabel Williams","3","123","0","0","0","25/1","166"
6,1,"Ascot","13:15","2m 7f 118y","Best Odds On The Betfair Exchange Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier)","3","4YO plus","9,849","Good to Soft","17","6",,"313-217","Bertie B","48",,"7","11-7","","C Boultbee-Brooks","Lewis Saunders","7","118","0","0","0","20/1","161"
7,1,"Ascot","13:15","2m 7f 118y","Best Odds On The Betfair Exchange Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier)","3","4YO plus","9,849","Good to Soft","17","7",,"P59521","Hardy Fella","11","D","8","11-6","v","Miss E C Lavelle","H Cobden",,"117","0","0","0","13/2","160"
8,1,"Ascot","13:15","2m 7f 118y","Best Odds On The Betfair Exchange Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier)","3","4YO plus","9,849","Good to Soft","17","8",,"313-17P","Molto Bene","45","bf","6","11-5","t","C E Longsdon","Lily Pinchin",,"116","0","0","0","14/1","159"
9,1,"Ascot","13:15","2m 7f 118y","Best Odds On The Betfair Exchange Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier)","3","4YO plus","9,849","Good to Soft","17","9",,"P8-34P5","Striking A Pose","47","D","9","11-5","b1","J Tizzard","Brendan Powell",,"116","0","0","0","25/1","159"
10,1,"Ascot","13:15","2m 7f 118y","Best Odds On The Betfair Exchange Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier)","3","4YO plus","9,849","Good to Soft","17","10",,"4-34632","Greyval (FR)","27",,"6","11-4","","F O'Brien","J J Burke",,"115","0","0","0","12/1","158"
