Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
1,Ascot,1,Samuel Spade (GER),12-0,B Pauling,Ben Jones,125,10-3238,,27,6,,,   
1,Ascot,2,Thank You Ma'am,12-0,G Nicholls,Miss Olive Nicholls,125,0P-2221,,56,6,p,7,  CD 
1,Ascot,3,Jilaijone (FR),12-0,D Pipe,Freddie Mitchell,125,5-42241,,21,6,t,5,   
1,Ascot,4,Dubrovnik Harry,11-13,H Fry,Bryan Carver,124,P6/403-5,,61,9,t,,   
1,Ascot,5,Dans Le Vent (FR),11-12,Evan Williams,Isabel Williams,123,3U/4630,,27,12,,3,D   
1,Ascot,6,Bertie B,11-7,C Boultbee-Brooks,Lewis Saunders,118,313-217,,48,7,,7,   
1,Ascot,7,Hardy Fella,11-6,Miss E C Lavelle,H Cobden,117,P59521,,11,8,v,,D   
1,Ascot,8,Molto Bene,11-5,C E Longsdon,Lily Pinchin,116,313-17P,,45,6,t,,   bf
1,Ascot,9,Striking A Pose,11-5,J Tizzard,Brendan Powell,116,P8-34P5,,47,9,b1,,D   
1,Ascot,10,Greyval (FR),11-4,F O'Brien,J J Burke,115,4-34632,,27,6,,,   
1,Ascot,11,Bective Abbey,11-3,N J Henderson,N de Boinville,114,1/91-,,296,7,,,   
1,Ascot,12,Blue Hop,11-2,B Brookhouse,J M Quinlan,113,P75-631,,22,8,t,,D   
1,Ascot,13,Jatiluwih (FR),11-2,P Hobbs & J White,Mr D Maxwell,113,28-4367,,26,11,p,,   
1,Ascot,14,Pinnacle Peak,11-2,M Keighley,Daire James McConville,113,1414-04,,63,10,p,7,D   
1,Ascot,15,Boston Boy,11-1,Jonjo & A J O'Neill,Jonjo O'Neill Jr.,112,55-4RR3,,22,6,,,   
1,Ascot,16,Ithaka,10-7,R Potter,Conor Ring,104,331513,,29,9,t,,D   
1,Ascot,17,Golden Cosmos,10-6,Dr R Newland & J Insole,Luke Scott,103,3543/P3,,22,9,,5,   
2,Ascot,1,Jingko Blue (FR),11-7,N J Henderson,N de Boinville,151,211P-11,,27,6,,,D   
2,Ascot,2,Leave Of Absence (FR),11-2,A J Honeyball,Rex Dingle,127,31131/2,,82,8,t,, C  
2,Ascot,3,Lowry's Bar,11-2,P Hobbs & J White,M G Nolan,148,2-42112,,27,7,,,   
2,Ascot,4,Peaky Boy,11-2,Jonjo & A J O'Neill,Nick Scholfield,140,21/11-13,,63,7,,,   bf
2,Ascot,5,The Changing Man,11-2,J Tizzard,Brendan Powell,138,42-F222,,21,8,t,,D   bf
3,Ascot,1,Altobelli,12-0,H Fry,Bryan Carver,137,9/230-21,,28,7,t p,,  CD 
3,Ascot,2,Samarrive (FR),11-13,P F Nicholls,H Cobden,136,F333/2-4,,105,8,,,D   
3,Ascot,3,Joyeux Machin (FR),11-10,D Skelton,Harry Skelton,133,FP-7053,,14,8,,,D   
3,Ascot,4,Rightsotom (GER),11-8,J Tizzard,Brendan Powell,131,64/1-715,,49,6,t1,,D   
3,Ascot,5,Classic King,11-8,Miss E C Lavelle,Rex Dingle,131,2-U81U1,,21,7,,,D   
3,Ascot,6,Spirit D'aunou (FR),11-4,G & J Moore,Freddie Mitchell,127,05-F643,,22,6,,5,   
3,Ascot,7,Tintintin (FR),11-3,F O'Brien,J J Burke,126,11-3546,,64,6,t,,   
3,Ascot,8,Into The Park,11-2,P Hobbs & J White,M G Nolan,125,3114-02,,58,6,,,   bf
3,Ascot,9,La Pinsonniere (FR),11-2,N J Henderson,N de Boinville,125,2336-21,,23,5,,,   
3,Ascot,10,Tapley,11-0,Miss S Smith,Harry Bannister,123,218645,,51,8,,,   
3,Ascot,11,Patriotik (FR),10-13,Evan Williams,Isabel Williams,122,32-25U2,,51,6,,3,D   
3,Ascot,12,Country Park,10-12,Jonjo & A J O'Neill,Jonjo O'Neill Jr.,121,B232F2,,28,6,p1,,   
3,Ascot,13,Jour D'evasion (FR),10-12,H D Daly,David Bass,121,P3-U221,,31,6,t,,D   
3,Ascot,14,Moveit Like Minnie,10-10,N A Twiston-Davies,Finn Lambert,119,1URR43,,28,8,t p,3,D   
4,Ascot,1,Threeunderthrufive,12-0,P F Nicholls,H Cobden,153,4/2210-3,,56,10,t p,,  CD 
