,Race
0,Happy New Year Novices' Hurdle (GBB Race)
1,Best Odds Guaranteed At Vickers.Bet Handicap Hurdle
2,Join Racing TV Now Novices' Handicap Chase (GBB Race)
3,Bet At Racing TV Novices' Hurdle (GBB Race)
4,Download Raceday Ready Today Handicap Chase (Go North Red Rum Series Qualifier)
5,Racing Again 11th January Handicap Hurdle
6,Favourite From The Sun Now Daily Maiden Hurdle (GBB Race)
7,Close Brothers Novices' Limited Handicap Chase (GBB Race)
8,Paddy Power Handicap Chase (GBB Race)
9,Paddy Power New Year's Day Handicap Chase (Premier Handicap) (GBB Race)
10,Paddy Power Handicap Hurdle (GBB Race)
11,Dornan Engineering Relkeel Hurdle (Grade 2) (GBB Race)
12,"Family Fun ""Junior"" National Hunt Flat Race (A Standard Open NH Flat Race) (Listed Race) (GBB Race)"
13,Passage House Inn Novices' Handicap Chase (GBB Race)
14,Welcome To 2024 With Rhino.Bet Handicap Hurdle
15,Rhino.Bet Charge Up Your 2024 Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB)
16,"Thurlestone Hotel ""National Hunt"" Maiden Hurdle (GBB Race)"
17,Rhino.Bet Your New Bookmaker For 2024 Handicap Chase
18,Lou Years Day Birthday Stakes Handicap Chase
19,Kennford Open Maiden National Hunt Flat Race (Category 3 Elimination) (GBB Race)
20,tote.co.uk Hair Of The Dog Juvenile Hurdle (Go North Grey Bomber Series Qualifier) (GBB Race)
21,tote.co.uk Hogmaneigh Handicap Hurdle (GBB Race)
22,tote.co.uk New Year New Me Handicap Hurdle
23,tote.co.uk Auld Reekie Handicap Chase (GBB Race)
24,tote.co.uk Gym Membership Renewed Novices' Handicap Chase
25,tote.co.uk Dry January Starts Now Handicap Hurdle (Go North Brindisi Breeze Series Qualifier)
26,BetUK. Home Of The Acca-Fenwa Handicap
27,BetUK. It's Where The UK Bets Apprentice Handicap
28,Boost Your Acca-Fenwa With BetUK Handicap
29,BetMGM: It's Showtime Handicap
30,Boost Your Acca At BetMGM Fillies' Handicap
31,Best Racing Odds Guaranteed At BetMGM Handicap
32,Always Gamble Responsibly With BetUK Handicap
33,Wishing Everyone A Healthy 2024 Mares Hurdle
34,ITM Irish Stallion Trail 12-13 January Maiden Hurdle
35,Tote+ Pays You More At Tote.ie Handicap Hurdle
36,Fairyhouse Membership 2024 Handicap Hurdle
37,John & Chich Fowler Memorial EBF Mares Chase (Grade 3)
38,McInerney Beginners Chase
39,Jump Into January @ Fairyhouse (Pro/Am) INH Flat Race
40,David Flynn Construction Maiden Hurdle
41,Jimmy Shanahan Memorial Handicap Hurdle
42,Ryans Cleaning Services Maiden Hurdle
43,Tramore Medical Clinic Handicap Hurdle
44,Savills New Year's Day Chase (Grade 3)
45,Core Bullion Traders Rated Novice Chase
46,Tom Carroll Memorial Handicap Chase
47,Happy New Year From Ayr Racecourse Maiden Hurdle (GBB Race)
48,Ayr Completes Juilia's Racecourse Journey Handicap Hurdle (Go North Cab On Target Series Qualifier)
49,Jim 'Havana' McPherson Handicap Chase
50,Ayrshire Wedding Show Novices' Handicap Chase (GBB Race)
51,Golf Inn Prestwick Handicap Hurdle (GBB Race)
52,Quiz Night At Golf Inn Prestwick Maiden Hurdle (GBB Race)
53,Win A Wedding At Western House Handicap Chase (Go North One Man Series Qualifier)
54,"Win £2,000,000 With BetMGM's Golden Goals Classified Stakes"
55,Boost Your Acca-Fenwa With BetUK Classified Stakes (Div 1)
56,Boost Your Acca-Fenwa With BetUK Classified Stakes (Div 2)
57,Boost Your Acca With BetMGM Restricted Maiden Stakes (For horses In Bands C And D) (GBB Race)
58,BetUK. It's Where The UK Bets Handicap
59,Try Unibet's New Acca Boosts Handicap
60,Try Our New Price Boost At Unibet Fillies' Novice Stakes (GBB Race)
61,Unibet 3 Uniboosts A Day Handicap (London Sprint Series Qualifier) (Div 1)
62,Unibet 3 Uniboosts A Day Handicap (London Sprint Series Qualifier) (Div 2)
63,Unibet Extra Place Offers Every Day Handicap (London Sprint Series Qualifier)
64,Unibet Support Safe Gambling Handicap (London Middle Distance Qualifier)
65,Try Our New Price Boosts At Unibet Handicap
66,Racing TV Handicap
67,Bet £10 Get £10 At PlanetSportBet Conditional Jockeys' Novices' Handicap Hurdle
68,Best Odds Guaranteed At PlanetSportBet Juvenile Maiden Hurdle (Novices' C'ship Series Qual') (GBB)
69,Download The PlanetSportBet App Mares' Maiden Hurdle (GBB Race) (Div 1)
70,Download The PlanetSportBet App Mares' Maiden Hurdle (GBB Race) (Div 2)
71,Read Harry Cobden's Blog At PlanetSportBet Handicap Chase
72,Daily Racing Specials At PlanetSportBet Handicap Hurdle
73,Watch & Bet At PlanetSportBet Handicap Chase
74,BetUK. Home Of The Acca-Fenwa Apprentice Classified Stakes (Div 1)
75,BetUK. Home Of The Acca-Fenwa Apprentice Classified Stakes (Div 2)
76,"Win £2,000,000 With BetMGM's Golden Goals Handicap"
77,Bet £10 Get £40 At BetMGM Fillies' Handicap
78,"Boost Your Acca At BetMGM Restricted Novice Stakes (For horses In Bands B, C And D) (GBB Race)"
79,BetUK. It's Where The UK Bets Handicap (Div 1)
80,BetUK. It's Where The UK Bets Handicap (Div 2)
81,Find More Big Deals At BetUK Handicap
82,Bet £10 Get £40 At BetMGM Handicap (Div 1)
83,Bet £10 Get £40 At BetMGM Handicap (Div 2)
84,Boost Your Acca At BetMGM Novice Stakes
85,BetUK. Home Of The Acca-Fenwa Handicap (Div 1)
86,BetUK. Home Of The Acca-Fenwa Handicap (Div 2)
87,"Ludlow Junior ""National Hunt"" Hurdle (GBB Race)"
88,Simply Delicious Cakes Novices' Handicap Chase (GBB Race)
89,Vobe Electrics Juvenile Hurdle (GBB Race)
90,Racing UK Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier)
91,Plyvine Caterers Handicap Chase
92,"Luke Watson Memorial ""National Hunt"" Maiden Hurdle (GBB Race)"
93,Watch On Racing TV Mares' Open National Hunt Flat Race (Category 1 Elimination) (GBB Race)
94,"Tote Placepot, Win Without A Winner Conditional Jockeys' Handicap Chase (Go North Red Rum Qualifier)"
95,"Tote Guarantee, Bet Smarter Maiden Hurdle (GBB Race)"
96,New Tote Multiples Only On-Course Novices' Limited Handicap Chase (GBB Race)
97,tote.co.uk Your First Place For Racing Handicap Hurdle (Go North Cab On Target Series Qualifier)
98,Racing TV Profits Returned To Racing Novices' Limited Handicap Hurdle
99,@ToteRacing On Twitter (Not X) Handicap Chase (Go North One Man Series Qualifier)
100,tote.co.uk Back To Work Monday Open National Hunt Flat Race (Go North Jodami Qualifier) (GBB Race)
101,BetMGM: It's Showtime Novice Stakes (GBB Race)
102,Boost Your Acca At BetMGM Restricted Maiden Stakes (For horses In Bands C And D) (GBB Race) (Div 1)
103,Boost Your Acca At BetMGM Restricted Maiden Stakes (For horses In Bands C And D) (GBB Race) (Div 2)
104,Stay Golden With BetMGM Safer Gambling Handicap
105,BetUK. Its Where The UK Bets Handicap (Div 1)
106,BetUK. Its Where The UK Bets Handicap (Div 2)
107,Boost Your Acca With BetUK Handicap
108,Build Your Acca With BetUK Apprentice Handicap
109,Best Racing Odds Guaranteed At BetMGM Fillies' Handicap
110,BetUK. Home Of The Acca-Fenwa Maiden Stakes (GBB Race)
111,Always Gamble Responsibly With BetUK Handicap (Div 1)
112,Always Gamble Responsibly With BetUK Handicap (Div 2)
113,BetUK's Acca Club £5 Free Bet Classified Stakes
114,Boost Your Acca At BetMGM Handicap (Div 1)
115,Boost Your Acca At BetMGM Handicap (Div 2)
116,racingtv.com Apprentice Handicap
